"","a1","g6","rho","beta2","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","diff_P2_1.0","psiz_bound_P2_1.0","psi1_bound_P2_1.0","bbound_P2_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","diff_P2_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0","diff_P2_3.0","psiz_bound_P2_3.0","psi1_bound_P2_3.0","bbound_P2_3.0"
"Ys0...1",-1.5,-1.5,-0.75,-1.5,0.0555418,-0.0285322,0.0112542,0.0247796,0.0555418,-0.0133334000000001,-0.00578439999999991,0.0247796,0.00183979999999995,-0.0151988,0.9960554,0.9299875,0.2733572,0.0513807000000001,-0.0133334000000001,-0.00578439999999991,0.1141202,-0.0833741000000001,-0.0151988,0.0556551,-0.0217342,0.00430450000000004,0.0248391,-2.10999999999961e-05,-0.00679799999999997,1.0044562,0.9383883,0.2904532
"Ys0...2",-1.5,-1.5,-0.75,-1,0.0557791999999999,-0.0351867,0.0179087,0.0247796,0.0557791999999999,-0.0109842,-0.00911960000000001,0.0247796,0.00282579999999999,-0.0242025,0.9937062,0.9276383,0.2583708,0.0484007,-0.0109842,-0.00911960000000001,0.0895944,-0.0546346000000001,-0.0242025,0.0558902,-0.0242829,0.0068532,0.0248391,-1.88000000000965e-05,-0.0109038,1.0070049,0.940937,0.2853558
"Ys0...3",-1.5,-1.5,-0.75,1,0.055925,-0.0423119,0.0250338999999999,0.0247796,0.055925,-0.00838559999999999,-0.0127251,0.0247796,0.00383270000000002,-0.0339263,0.9916144,0.9250397,0.2421864,0.044171,-0.00838559999999999,-0.0127251,0.0215477000000001,0.018761,-0.0339263,0.0560321,-0.0270184,0.00958870000000001,0.0248391,-1.49000000000399e-05,-0.0152935,1.0097404,0.9436725,0.2798848
"Ys0...4",-1.5,-1.5,-0.75,1.5,0.0559269999999999,-0.0425470999999999,0.0252690999999999,0.0247796,0.0559269999999999,-0.00829820000000003,-0.0128358000000001,0.0247796,0.00385600000000008,-0.0342488999999999,0.9917018,0.9249523,0.241666,0.0440083999999999,-0.00829820000000003,-0.0128358000000001,0.0157772,0.0247208,-0.0342488999999999,0.0560336,-0.0271053,0.00967560000000001,0.0248391,-1.4400000000081e-05,-0.0154418,1.0098273,0.9437594,0.279711
"Ys0...5",-1.5,-1.5,-0.2,-1.5,0.0555396,-0.0234841,0.00622339999999999,0.0247796,0.0555396,-0.0132817000000001,-0.00579799999999997,0.0247796,0.00181900000000002,-0.0102023999999999,0.996021,0.9299531,0.2732538,0.051355,-0.0132817000000001,-0.00579799999999997,0.1141202,-0.083385,-0.0102023999999999,0.0556551,-0.0217342,0.00430450000000004,0.0248391,-5.99999999995049e-06,-0.00174989999999997,1.0044735,0.9384056,0.2904532
"Ys0...6",-1.5,-1.5,-0.2,-1,0.0557797,-0.0271224999999999,0.00986179999999992,0.0247796,0.0557797,-0.0108998,-0.00912570000000001,0.0247796,0.00276480000000001,-0.0162226999999999,0.9936391,0.9275712,0.258202,0.0483161,-0.0108998,-0.00912570000000001,0.0895944,-0.0546166,-0.0162226999999999,0.0558902,-0.0242829,0.0068532,0.0248391,-1.00000000002876e-06,-0.00283959999999994,1.0070222,0.9409543,0.2853558
"Ys0...7",-1.5,-1.5,-0.2,1,0.0559174,-0.0310186,0.0137579,0.0247796,0.0559174,-0.00832690000000003,-0.0127184,0.0247796,0.00378460000000003,-0.0226917,0.9916731,0.9249983,0.242069,0.044104,-0.00832690000000003,-0.0127184,0.0215477000000001,0.018779,-0.0226917,0.0560321,-0.0270184,0.00958870000000001,0.0248391,-5.20000000003851e-06,-0.00400020000000001,1.0097577,0.9436898,0.2798848
"Ys0...8",-1.5,-1.5,-0.2,1.5,0.0559189999999999,-0.0311485,0.0138878,0.0247796,0.0559189999999999,-0.00823839999999998,-0.0128287,0.0247796,0.00380639999999999,-0.0229101,0.9917616,0.9249098,0.2415464,0.0439402999999999,-0.00823839999999998,-0.0128287,0.0157772,0.0247383999999999,-0.0229101,0.0560336,-0.0271053,0.00967560000000001,0.0248391,-5.10000000009114e-06,-0.00404320000000002,1.0098446,0.9437767,0.279711
"Ys0...9",-1.5,-1.5,0.2,-1.5,0.0555604000000001,-0.0198802,0.00258119999999995,0.0247796,0.0555604000000001,-0.013332,-0.00581299999999996,0.0247796,0.0018459999999999,-0.0065482,0.996033,0.9299651,0.2733544,0.0513817999999999,-0.013332,-0.00581299999999996,0.1141202,-0.083379,-0.0065482,0.0556551,-0.0217342,0.00430450000000004,0.0248391,-2.34999999999541e-05,0.00185400000000002,1.0044352,0.9383673,0.2904532
"Ys0...10",-1.5,-1.5,0.2,-1,0.0558040000000001,-0.0213458,0.00404679999999991,0.0247796,0.0558040000000001,-0.0109680000000001,-0.00914459999999995,0.0247796,0.00281359999999997,-0.0103777999999999,0.993669,0.9276011,0.2583384,0.0483726,-0.0109680000000001,-0.00914459999999995,0.0895944,-0.0546188999999999,-0.0103777999999999,0.0558902,-0.0242829,0.0068532,0.0248391,-1.49999999999872e-05,0.00293710000000003,1.0069839,0.940916,0.2853558
